关键词,名称,sal,d,d1,d2
"爬虫
redis
数据库
python
linux
django
sql
go
员工旅游
定期体检
年终奖金
绩效奖金
补充医疗保险
专业培训
五险一金",Python开发工程师(欧美自研项目）,1.5-2万·13薪,大连·沙河口区,1年,大专
"计算机
sql
软件工程
数据仓库
fa
ta
python
带薪年假
五险一金
节日福利",Python数据开发-证券基金,1.2-1.8万,深圳·南山区,3-4年,本科
"编码
数据结构
系统设计
服务端研发
系统架构
编码习惯
算法
技术方案
五险一金
绩效奖金
提供住宿
周末双休",Python开发--双休不加班,6千-1万,青岛·市北区,无需经验,大专
"Python
五险一金
节日礼物
定期体检
绩效奖金
年终奖金
员工旅游
交通补贴
补充医疗保险",Python开发工程师,7千-1.3万,哈尔滨,1年,大专
"python
数据库
linux
django
sql
flask
redis
爬虫
Java
web
五险一金
补充医疗保险
补充公积金
通讯补贴
年终奖金
餐饮补贴
绩效奖金
定期体检
弹性工作
专业培训",Python开发工程师,8千-1.5万,北京·海淀区,1年,大专
"计算机
编程
架构优化
五险一金
周末双休
包三餐
年终奖金
专业培训
带薪年假",Python开发工程师,5千-1万·14薪,昆明,1年,本科
五险一金,Python软件架构设计,1.5-2万,北京,无需经验,本科
"python
五险一金
补充商业保险
通讯补贴
证券休市假
生日福利
节日礼物
过节礼金
定期体检
免费食堂
绩效奖金",Python,7千-1万,北京,无需经验,大专
"java
oracle
财务
python
五险一金
旅游
补助
津贴
专业培训
年终奖金
弹性工作",Python开发工程师上九下六,7-8千,天津,1年,本科
"五险一金
绩效奖金
定期体检
免费班车
餐饮补贴
年终奖金",嵌入式软件架构师（Python/Java/Go语言方向）(J12396),2-2.8万,广州,3-4年,本科
"python
数据分析
英语读写
系统框架
报表系统
五险一金",Python数据工程师,8千-1.2万,南京·建邺区,3-4年,本科
"python
django
mysql
jquery
html
git
前端
redis
github
celery
五险一金
专业培训
在家上班",Python Django 后端开发工程师,1.2-2.4万,广州·天河区,3-4年,大专
"java
oracle
财务
python
五险一金
旅游
补助
津贴
专业培训
年终奖金
弹性工作",Python开发工程师（RPA方向）,7-8千,天津,1年,本科
五险一金,"机器学习建模,Python,数据分析",1.5-2万,苏州,无需经验,本科
"五险
餐饮补贴
带薪年假
交通补贴
通讯补贴
提供住宿",量化交易python开发工程师,6千-1万,武汉·洪山区,1年,本科
"数据挖掘
数据分析
数据处理
Data
AI
算法
语音
文本
Python
BI
五险一金
补充医疗保险
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
定期体检
弹性工作
年终奖金",Data Analyst Manager/数据分析经理（python/AI）,2.5-4万·13薪,大连·高新园区,5-7年,大专
"计算机
mysql
oracle
数据库
linux
redis
django
五险一金
弹性工作
补充公积金
绩效奖金
年终奖金",Python后端开发（全额公积金）,1.7-2.2万,上海·浦东新区,3-4年,本科
"python
django
mysql
jquery
html
git
前端
redis
github
celery
五险一金
专业培训
在家上班",Python Django 后端开发工程师,1.2-2.4万,广州·天河区,3-4年,大专
五险一金,IT数字化项目管理(精通Python)-流程改善,1-1.4万,苏州,2年,本科
五险一金,Python数据开发工程师,1.2-1.6万,上海·静安区,3-4年,本科
"java
c++
js
数据结构
编程语言
算法
go
python
节假日福利
社保
绩效奖金
五险一金
补充医疗保险
免费班车
交通补贴
年终奖金
餐饮补贴
通讯补贴",软件开发（JS、Java、Python、C/C++等）,1.3-1.8万·15薪,西安,1年,本科
"python
django
mysql
jquery
html
git
前端
redis
github
celery
五险一金
专业培训
在家上班",Python Django 后端开发工程师,1.2-2.4万,广州·天河区,3-4年,大专
"开发
研发
tornado
python
五险一金
周末双休
节日福利",Python后台Web开发工程师,8千-1.2万,西安·碑林区,3-4年,大专
"python
软件开发
软件工程师
周末双休
带薪年假
五险一金
绩效奖金
包住宿
包三餐",Python开发工程师,8千-1.6万,东莞·长安镇,1年,大专
"python
java
爬取
五险一金
员工旅游
绩效奖金
年终奖金
周末双休
弹性工作
带薪年假
全勤奖
节日福利
专业培训",爬虫开发工程师（python方向）,1.7-2.4万·14薪,深圳·南山区,1年,本科
"linux
pandas
django
flask
numpy
爬虫
部署生产环境
模拟器
rpa
vue
带薪年假
年终奖金
定期体检
餐饮补贴
五险一金
补充医疗保险",Python工程师(J10563),1.1-1.7万·13薪,上海·黄浦区,1年,本科
"五险一金
餐饮补贴
专业培训
绩效奖金",Python全栈工程师,2-2.8万,南京,5-7年,本科
"编码
数据结构
系统设计
服务端研发
系统架构
编码习惯
算法
技术方案
五险一金
绩效奖金
提供住宿
周末双休",Python开发--双休不加班,6千-1万,青岛·城阳区,无需经验,大专
"汽车
c++
自动驾驶
python
格式转化
提供住宿
补充医疗保险
免费班车
弹性工作
五险一金",Python c++ 开发工程师,1-1.8万,上海·嘉定区,无需经验,本科
"五险一金
包吃
包住宿
绩效奖金
全勤奖
定期体检
节日福利
补充公积金",Python/Django Web开发工程师,6-8千,深圳·光明区,1年,大专
五险一金,"机器学习建模,Python,数据分析",1.5-2万,北京,无需经验,本科
"python
爬虫
五险一金
员工旅游
绩效奖金
定期体检
免费茶点
周末双休
带薪年假
节日福利",初级PYTHON开发工程师,6-8千,佛山·南海区,1年,大专
"Python开发
Python
后端
应届生
五险一金
年终奖金
定期体检
下午茶
全勤奖金
实习证明",Python初级开发,5-6千,成都·高新区,1年,大专
"五险一金
餐饮补贴
通讯补贴
员工旅游
绩效奖金
年终奖金
交通补贴",Python嵌入式软件工程师,1.5-2.5万,上海·青浦区,2年,本科
五险一金,"机器学习建模,Python,数据分析",1-1.4万,上海,无需经验,本科
"python
数据分析
英语读写
系统框架
报表系统
五险一金",Python数据工程师（双休）,8千-1.2万,南京·建邺区,3-4年,本科
"员工旅游
五险",Python 软件工程师,7千-1.4万,深圳·宝安区,1年,大专
"python
django
mysql
jquery
html
git
前端
redis
github
celery
五险一金
专业培训
在家上班",Python Django 后端开发工程师,1.2-2.4万,广州·天河区,3-4年,大专
"python
django
sql
数据库
全栈
前后端开发
angular
react
员工旅游
定期体检
年终奖金
绩效奖金
补充医疗保险
专业培训
五险一金",全栈开发工程师(Python+vue/react/angular）,1.5-2.2万,大连·沙河口区,3-4年,大专
"补充医疗保险
定期体检
七险一金
带薪年假
带薪病假
免费健身",中级智驾python测试工程师-13817,1-1.6万·13薪,上海·嘉定区,3-4年,本科
"java
c#
c++
php
python
开发
计算机
软件
软件功能模块
理科
社保
节日福利
弹性工作
绩效奖金
专业培训
年终奖金",PHP/JAVA/Python助理工程师兼职,2-4千,武汉·武昌区,2年,大专
"python
django
mysql
jquery
html
git
前端
redis
github
celery
五险一金
专业培训
在家上班",Python Django 后端开发工程师,1.2-2.4万,广州·天河区,3-4年,大专
"计算机
java
c++
php
理工
数据库管理
人形机器人
python
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
交通补贴
五险",Python、java 机器人程序开发,7千-1.3万,杭州·西湖区,无需经验,本科
"计算机
大数据行业
数据分析
数据采集
开发测试
五险一金
员工旅游
绩效奖金
专业培训
交通补贴
餐饮补贴
年终奖金
定期体检",Python数据开发工程师,6千-1.2万·13薪,青岛·城阳区,无需经验,大专
"linux
numpy
adas
gl
cv
五险一金
绩效奖金
年终奖金
定期体检
专业培训",python中级开发工程师,9千-1.4万·13薪,苏州·苏州工业园区,2年,本科
"linux
docker
英语读写
深度学习
结果分析
技术调研
数据准备
大数据处理
模型训练
口语交流
补充医疗保险
弹性工作
定期体检
专业培训
员工旅游
五险一金",初级python,7.5千-1万,西安·雁塔区,1年,本科
"Python
五险一金
节日礼物
定期体检
绩效奖金
年终奖金
员工旅游
交通补贴
补充医疗保险",Python开发工程师,6.8千-1.3万,哈尔滨,无需经验,大专
"python
五险一金
交通补贴
餐饮补贴
通讯补贴",Python后台开发工程师,7千-1万,武汉,2年,本科
"java
系统架构设计
爬虫
rpa
多线程
缓存
分布式系统
函数式编程
周末双休
专业培训
绩效奖金
节日福利
六险一金
年底奖金
带薪年假
年度体检
股票期权
定期体检",Java/Python架构师,2.8-4万,南京,8-9年,本科
"串口
python
ui制作
tcp
linux
windows
多线程
ui
gpio
自动化设备
五险一金
定期体检
双休
年终奖
补充医疗保险
护理假
育儿假等
工龄奖
职位津贴
生日会",python-UI软件开发,9千-1万·13薪,苏州·苏州工业园区,2年,大专
"补充医疗保险
定期体检
七险一金
带薪年假
带薪病假
免费健身",高级开发工程师（Python/Java）-6831,2-3万·13薪,上海,5-7年,本科
"计算机
大数据行业
数据分析
数据采集
开发测试
五险一金
员工旅游
绩效奖金
专业培训
交通补贴
餐饮补贴
年终奖金
定期体检",Python数据开发工程师,6千-1.2万·13薪,青岛·市北区,无需经验,大专
"数据结构
数学
功能设计
gis
编程语言
模块开发
pandas
运筹学
numpy
产品需求分析
五险一金
定期体检
双休
带薪年假",Python开发工程师,8千-1.2万,广州·天河区,3-4年,本科
"计算机
开发
调试
编程
研发
结构设计
数学
docker
多线程
ai
五险一金
定期体检
弹性工作
专业培训",Python开发工程师,1.3-1.8万,苏州·吴中区,3-4年,本科
"pandas
python
数据仓库搭建
机器学习算法
五险一金
年终奖金
绩效奖金",Python开发工程师,1.2-1.6万,成都·金牛区,3-4年,本科
"python
开发框架
设计文档
开发
服务架构
需求评审
产品维护
仿真
工业软件
五险一金
补充医疗保险
餐饮补贴
专业培训
绩效奖金
年终奖金
定期体检",Python,1-2万,上海·嘉定区,5-7年,大专
"机器学习
python
sql
MySQL
五险一金
节假福利
双休",Python开发工程师,1.4-2万,上海·浦东新区,3-4年,大专
"python
五险一金
包食宿
免费班车
年终奖金
定期体检
专业培训",Python（GPT）开发人员,9千-1.3万,东莞,3-4年,大专
,Python开发工程师,1.5-2万,宁波·高新区,5-7年,大专
"mysql
数据分析
sql
数据仓库
数据集市
数仓
统计分析报表
数据汇聚
存储
python
五险一金
餐饮补贴
出差补助",Python数据分析工程师,6-8千,广州·天河区,1年,大专
"五险一金
员工旅游
交通补贴
定期体检
年终奖金",Python开发实习生,5-7千,贵阳,1年,大专
"C++;
python;
软件工程师;
C;
Linux
;ARM
五险一金
专业培训
股票期权
员工旅游
定期体检
餐饮补贴
周末双休
弹性工作
节日福利
丰富的下午茶",c/c++/python软件工程师,1-2万·13薪,济南·高新区,1年,本科
"数据分析
编程
解决方案
技术指导
人工智能
机器学习
项目规划
深度学习
计算机科学
算法设计
五险一金
补充公积金
员工旅游
绩效奖金
年终奖金
弹性工作
定期体检
专业培训
餐饮补贴
通讯补贴",python智能工程师,1-1.5万,深圳·龙岗区,无需经验,本科
"软件开发
数据库
代码编写
代码设计
代码
编程
程序员
Python
管培生
技术管培生
五险一金
补充医疗保险
员工旅游
交通补贴
通讯补贴
专业培训
定期体检
年终奖金
带薪年假
餐饮补贴",Python技术管培生,5.3千-1万,中山·东区,无需经验,
"python
深度学习建模
五险一金
周末双休
带薪年假
员工旅游
定期体检",Python开发工程师(005866),1.3-1.6万,广州·番禺区,5-7年,本科
"Python
开发
五险一金
节假福利
双休",Python开发工程师,1-1.5万,上海·浦东新区,2年,本科
"python
五险一金
交通补贴
年终奖金
免费工作餐",Python开发工程师,7千-1.2万·14薪,成都·双流区,3-4年,本科
"python
数据库
linux
五险一金
餐饮补贴
绩效奖金
年终奖金",Python后端开发工程师,1-2万·13薪,广州·黄埔区,2年,本科
"人工智能
python
餐饮补贴
绩效奖金
五险
员工旅游",Python工程师-人工智能方向,8千-1.5万,东莞·南城区,无需经验,本科
"python
spark
五险一金
专业培训
绩效奖金
定期体检",Python数据开发工程师,1.2-1.6万·13薪,广州·黄埔区,1年,本科
"软件开发
数据库
代码编写
代码设计
代码
编码
程序员
Python
管培生
技术管培生
五险一金
补充医疗保险
员工旅游
交通补贴
通讯补贴
专业培训
定期体检
年终奖金
带薪年假
餐饮补贴",Python技术管培生,5.3千-1万,中山·东区,无需经验,
"python
开发工程师
开发
软件开发
工程师
五险一金
年终奖金
定期体检
员工旅游
专业培训",Python开发工程师,1-1.5万,上海·静安区,2年,本科
"五险一金
免费班车
餐饮补贴",软件开发工程师（Python）,2-4万,西安,3-4年,大专
"五险一金
年终奖金
绩效奖金
股票期权
专业培训
餐饮补贴",python+机器学习,1.5-2.2万,广州·天河区,3-4年,本科
"周末双休
带薪年假
五险一金
绩效奖金
定期体检
补充医疗保险",Python开发工程师,8千-1.2万·13薪,北京,2年,本科
"django
python
大数据开发
五险一金
专业培训
通讯补贴
加班补贴
交通补贴
绩效奖金",Python开发工程师,8千-1.2万,南昌·青山湖区,3-4年,大专
"c++
web
数据结构
设计模式
多线程
计算机软件
vscode
项目
开发工具
人机交互
五险一金
餐饮补贴
年终奖金",Python,7千-1万,中山·坦洲镇,3-4年,本科
"年终奖金
五险一金",Python开发工程师,1-1.5万,北京·海淀区,3-4年,大专
"数据库
mongodb
系统开发
django
接口开发
redis
linux
http
Cython
网络安全
五险一金
交通补贴
餐饮补贴
通讯补贴
绩效奖金
股票期权
弹性工作
免费班车",PYTHON高级研发工程师,1.5-2.3万,上海·静安区,5-7年,本科
"五险一金
交通补贴
餐饮补贴",存储开发（Python）,1.5-3万·14薪,成都·双流区,2年,本科
"计算机
linux
css
html
前端
编程
js
通信
项目实施
自动化测试
五险一金
员工旅游
年终奖金
弹性工作",Python工程师,1.8-2.5万,深圳,5-7年,本科
